Mã phiếu,Người tạo,Ngày tạo,Mã kế hoạch,Mã vật tư,Tên vật tư,Đvt (01),SỐ LƯỢNG (01),ĐVT (02),SỐ LƯỢNG (02),NGÀY CẦN
PR24/10-014,Nguyễn Thị Hưởng,10/7/2024,EP2410-0012,MDM-DML,Dung Môi PP - Dung Môi trực tiếp,KG,510,KG,510,
PR24/10-014,Nguyễn Thị Hưởng,10/7/2024,EP2410-0012,MDM-FL23,Vàng Chanh 23 FL,KG,100,KG,100,
PR24/10-014,Nguyễn Thị Hưởng,10/7/2024,EP2410-0012,MDM-FL23GT,Vàng Chanh 23 FL gián tiếp (P012C),KG,50,KG,50,
PR24/10-014,Nguyễn Thị Hưởng,10/7/2024,EP2410-0012,MDM-FL81,Tím 81 FL,KG,25,KG,25,
PR24/10-014,Nguyễn Thị Hưởng,10/7/2024,EP2410-0012,MDM-FLDO192,Đỏ 192C FL,KG,50,KG,50,
PR24/10-015,Nguyễn Thị Hưởng,10/7/2024,EP2409-0031,0914700030000000,PIN -  CR2032,CAI,10,CAI,10,
PR24/10-016,Nguyễn Thị Hưởng,10/8/2024,EP2410-0013,0700100090000000,dầu do,Lít,600,Lít,600,
PR24/10-017,Nguyễn Thị Hưởng,10/8/2024,EP2410-0018,040010007000000,"Chỉ may multi Polyester, 2000D (se đôi), màu trắng. [Dùng cho may bao Jumbo]; Lực ≥15KgF, độ giãn ≥ 15.5% ± 1",KG,1000,KG,1000,
PR24/10-017,Nguyễn Thị Hưởng,10/8/2024,EP2410-0018,040010009000000,"Chỉ may PP 1200D, màu trắng không tẩy. Lực >4.8kgF, dãn >20%, nhúng hồ 20 điểm/1 mét, kháng UV 1-2%",KG,500,KG,500,
PR24/10-017,Nguyễn Thị Hưởng,10/8/2024,EP2410-0018,040010012000000,"Chỉ may PP 600D, màu trắng không tẩy. Cơ lý > or = 2.4Kgf. Độ dãn > or =20%, Nhúng hồ 20 điểm/1 mét (5cm/điểm). Kháng UV 1-2%",KG,300,KG,300,
PR24/10-017,Nguyễn Thị Hưởng,10/8/2024,EP2410-0018,040010015000000,"Chỉ may PP 900D, màu trắng không tẩy.(Cơ lý > or = 3.6Kgf. Độ dãn > or = 20%, Nhúng hồ 20 điểm/1 mét (5cm/điểm), màu trắng không tẩy), kháng UV 1-2%",KG,2000,KG,2000,
PR24/10-017,Nguyễn Thị Hưởng,10/8/2024,EP2410-0018,HAT-TACKS-1001,Hạt Taical EFPP1001 trắng sáng,Kg,54000,Kg,54000,
PR24/10-018,Nguyễn Thị Hưởng,10/8/2024,EP2410-0020,0905701320000000,Phớt ben USH 95x105x10mm ( theo mẫu),CAI,4,CAI,4,
PR24/10-018,Nguyễn Thị Hưởng,10/8/2024,EP2410-0020,0902900010000000,Vòng Sin phi trong 105 - 3mm,CAI,4,CAI,4,
PR24/10-018,Nguyễn Thị Hưởng,10/8/2024,EP2410-0020,090570240000000,Phớt ben USH 50x64mm (Theo mẫu),CAI,4,CAI,4,
PR24/10-018,Nguyễn Thị Hưởng,10/8/2024,EP2410-0020,0902900430000000,Vòng sin phi trong 105- 5mm,CAI,4,CAI,4,
PR24/10-019,Nguyễn Thị Hưởng,10/8/2024,EP2410-0021,0914700030000000,PIN -  CR2032,CAI,20,CAI,20,
PR24/10-019,Nguyễn Thị Hưởng,10/8/2024,EP2410-0021,0902201040000000,Bộ điều khiển chu kỳ nhớt QNTC (màn hình+PLC+lập trình),BO,10,BO,10,
PR24/10-019,Nguyễn Thị Hưởng,10/8/2024,EP2410-0021,0902210950000000,Đèn LED Pha vuông 220V-65W.,CAI,4,CAI,4,
PR24/10-019,Nguyễn Thị Hưởng,10/8/2024,EP2410-0021,0908700430000000,Bình ắc quy KENTOM - KT5-6-6V5Ah.,CAI,2,CAI,2,
PR24/10-020,Nguyễn Thị Hưởng,10/8/2024,EP2410-0022,HAT-DEN-0030K1,Hạt màu đen mã số EMPE 0030K1 (Châu Âu),KG,100,KG,100,
PR24/10-021,Nguyễn Thị Hưởng,10/9/2024,EP2410-0025,HAT-TACKS-JB,Hạt Taical kéo sợi Jumbo. [Hanotech: HF006R] [Châu Âu: PP1002BRT],KG,27000,KG,27000,
PR24/10-022,Nguyễn Thị Hưởng,10/9/2024,EP2410-0010,HAT-BEIGE-49006U,Hạt màu beige  49006U.( Á Châu),KG,25,KG,25,
PR24/10-023,Nguyễn Thị Hưởng,10/9/2024,EP2410-0014,5300100650000000,Thẻ Xe Máy,CAI,60,CAI,60,
PR24/10-023,Nguyễn Thị Hưởng,10/9/2024,EP2410-0014,5300100410000000,Bút xóa,CAY,10,CAY,10,
PR24/10-023,Nguyễn Thị Hưởng,10/9/2024,EP2410-0014,5300100450000000,Ghim Giấy,HOP,10,HOP,10,
PR24/10-023,Nguyễn Thị Hưởng,10/9/2024,EP2410-0014,5300100460000000,Giấy A472,Gram,30,Gram,30,
PR24/10-023,Nguyễn Thị Hưởng,10/9/2024,EP2410-0014,5300100510000000,Giấy A5/70,Gram,10,Gram,10,
PR24/10-023,Nguyễn Thị Hưởng,10/9/2024,EP2410-0014,5300100530000000,Giấy in liên tục 3 liên,THUNG,1,THUNG,1,
PR24/10-023,Nguyễn Thị Hưởng,10/9/2024,EP2410-0014,5300100550000000,Kẹp Bướm 19mm,HOP,5,HOP,5,
PR24/10-023,Nguyễn Thị Hưởng,10/9/2024,EP2410-0014,5300100590000000,Lưỡi Dao Lớn,HOP,1,HOP,1,
